Name	CommonName	TaxID	Count	Rank	Group	Phylum	Class	Order	Family	Genus
Sturnus vulgaris	Common starling	9172	6	species	Birds	Chordata	Aves	Passeriformes	Sturnidae	Sturnus
Porphyrio melanotus	Pukeko	72013	41	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Branta canadensis	Canada goose	8853	19	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Branta
Passer domesticus	House sparrow	48849	27	species	Birds	Chordata	Aves	Passeriformes	Passeridae	Passer
Porphyrio melanotus	Pukeko	72013	12	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Phalacrocorax carbo	Black Shag	9209	762	species	Birds	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Phalacrocorax
Fringilla coelebs	Common chaffinch	37598	99	species	Birds	Chordata	Aves	Passeriformes	Fringillidae	Fringilla
Porphyrio melanotus	Pukeko	72013	177	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Sturnus vulgaris	Common starling	9172	158	species	Birds	Chordata	Aves	Passeriformes	Sturnidae	Sturnus
Aythya novaeseelandiae	New Zealand scaup; black teal	2497792	26	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Aythya
Prunella modularis	Dunnock	181117	5	species	Birds	Chordata	Aves	Passeriformes	Passeridae	Prunella
Porphyrio melanotus	Pukeko	72013	169	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Phalacrocorax carbo	Black Shag	9209	16	species	Birds	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Phalacrocorax
Tadorna	Shelduck	8888	58	genus	Birds	Chordata	Aves	Anseriformes	Anatidae	Tadorna
Microcarbo melanoleucos	Little shag	146618	254	species	Birds	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Microcarbo
Tadorna variegata	Paradise Shelduck	107024	92	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Tadorna
Sturnus vulgaris	Common starling	9172	19	species	Birds	Chordata	Aves	Passeriformes	Sturnidae	Sturnus
Anas platyrhynchos	Mallard duck	8839	279	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Porphyrio	Swamphens	54483	1201	genus	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Gallirallus australis	Weka	9125	12	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Gallirallus
Prosthemadera novaeseelandiae	Tui	266374	32	species	Birds	Chordata	Aves	Passeriformes	Meliphagidae	Prosthemadera
Porphyrio melanotus	Pukeko	72013	47	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Porphyrio melanotus	Pukeko	72013	173	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Turdus	Thrush	9186	1474	genus	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Porphyrio melanotus	Pukeko	72013	407	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Petroica	Robin; tomtit	228563	21	genus	Birds	Chordata	Aves	Passeriformes	Petroicidae	Petroica
