"HID","UID","Name","CommonName","TaxID","Count","Rank","Group","Phylum","Class","Order","Family","Genus"
13237940,515920,"Potamopyrgus antipodarum","Mud Snail",145637,1140,"species","Molluscs","Mollusca","Gastropoda","Littorinimorpha","Tateidae","Potamopyrgus"
28249311,714766,"Potamopyrgus antipodarum","Mud Snail",145637,6,"species","Molluscs","Mollusca","Gastropoda","Littorinimorpha","Tateidae","Potamopyrgus"
55979685,722492,"Potamopyrgus antipodarum","Mud Snail",145637,18,"species","Molluscs","Mollusca","Gastropoda","Littorinimorpha","Tateidae","Potamopyrgus"
22164622,529714,"Potamopyrgus","Mud snails",145636,1390,"genus","Molluscs","Mollusca","Gastropoda","Littorinimorpha","Tateidae","Potamopyrgus"
14445625,511206,"Potamopyrgus","Mud snails",145636,481,"genus","Molluscs","Mollusca","Gastropoda","Littorinimorpha","Tateidae","Potamopyrgus"
14242236,518999,"Deroceras reticulatum","Grey field slug; Grey garden slug",145610,7,"species","Molluscs","Mollusca","Gastropoda","Stylommatophora","Agriolimacidae","Deroceras"
22105341,401268,"Potamopyrgus","Mud snails",145636,1375,"genus","Molluscs","Mollusca","Gastropoda","Littorinimorpha","Tateidae","Potamopyrgus"
55770151,714103,"Potamopyrgus","Mud snails",145636,77,"genus","Molluscs","Mollusca","Gastropoda","Littorinimorpha","Tateidae","Potamopyrgus"
3464758,504672,"Physella","Freshwater Snail",175859,78,"genus","Molluscs","Mollusca","Gastropoda",NA,"Physidae","Physella"
42162311,719606,"Potamopyrgus antipodarum","Mud Snail",145637,8,"species","Molluscs","Mollusca","Gastropoda","Littorinimorpha","Tateidae","Potamopyrgus"
35408513,532987,"Potamopyrgus antipodarum","Mud Snail",145637,18,"species","Molluscs","Mollusca","Gastropoda","Littorinimorpha","Tateidae","Potamopyrgus"
12674504,400929,"Potamopyrgus antipodarum","Mud Snail",145637,60,"species","Molluscs","Mollusca","Gastropoda","Littorinimorpha","Tateidae","Potamopyrgus"
42631827,724692,"Physella acuta","Left handed sinistral snail",109671,138,"species","Molluscs","Mollusca","Gastropoda",NA,"Physidae","Physella"
52729011,711551,"Potamopyrgus antipodarum","Mud Snail",145637,33,"species","Molluscs","Mollusca","Gastropoda","Littorinimorpha","Tateidae","Potamopyrgus"
52401380,726742,"Potamopyrgus","Mud snails",145636,81,"genus","Molluscs","Mollusca","Gastropoda","Littorinimorpha","Tateidae","Potamopyrgus"
25104074,712816,"Physella acuta","Left handed sinistral snail",109671,86,"species","Molluscs","Mollusca","Gastropoda",NA,"Physidae","Physella"
3980434,506405,"Milax","",145607,14,"genus","Molluscs","Mollusca","Gastropoda","Stylommatophora","Milacidae","Milax"
1930408,504969,"Potamopyrgus","Mud snails",145636,421,"genus","Molluscs","Mollusca","Gastropoda","Littorinimorpha","Tateidae","Potamopyrgus"
24565869,519308,"Potamopyrgus","Mud snails",145636,9,"genus","Molluscs","Mollusca","Gastropoda","Littorinimorpha","Tateidae","Potamopyrgus"
39028089,703495,"Physella acuta","Left handed sinistral snail",109671,8,"species","Molluscs","Mollusca","Gastropoda",NA,"Physidae","Physella"
26274617,713153,"Milax","",145607,10,"genus","Molluscs","Mollusca","Gastropoda","Stylommatophora","Milacidae","Milax"
6305900,508166,"Bulla quoyii","brown bubble shell",415533,5,"species","Molluscs","Mollusca","Gastropoda","Cephalaspidea","Bullidae","Bulla"
52867019,711256,"Gyraulus corinna","NZ freshwater snail",10000037,7,"species","Molluscs","Mollusca","Gastropoda",NA,"Planorbidae","Gyraulus"
44620492,528541,"Potamopyrgus","Mud snails",145636,91,"genus","Molluscs","Mollusca","Gastropoda","Littorinimorpha","Tateidae","Potamopyrgus"
25935481,708241,"Potamopyrgus antipodarum","Mud Snail",145637,67,"species","Molluscs","Mollusca","Gastropoda","Littorinimorpha","Tateidae","Potamopyrgus"
26293761,708815,"Physella acuta","Left handed sinistral snail",109671,6072,"species","Molluscs","Mollusca","Gastropoda",NA,"Physidae","Physella"
7739067,516557,"Potamopyrgus antipodarum","Mud Snail",145637,86,"species","Molluscs","Mollusca","Gastropoda","Littorinimorpha","Tateidae","Potamopyrgus"
11771535,516513,"Ophyiulus pilosus","Millipede",118470,19,"species","Other","Arthropoda","Diplopoda","Julida","Julidae","Ophyiulus"
8678899,515019,"Chaetonotus","Gastrotrich",68038,722,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus"
35402387,532973,"Chaetonotus","Gastrotrich",68038,267,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus"
34060888,715064,"Chaetonotus","Gastrotrich",68038,6,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus"
39609472,538752,"Chaetonotus","Gastrotrich",68038,305,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus"
31750286,715133,"Procryptobia","",266822,21,"genus","Other","Euglenozoa","Kinetoplastea","Parabodonida",NA,"Procryptobia"
30785802,713076,"Chaetonotus","Gastrotrich",68038,20,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus"
37179528,533272,"Trachelomonas","Euglinoid",96503,5,"genus","Other","Euglenozoa","Euglenida","Euglenales","Euglenaceae","Trachelomonas"
2777415,507323,"Prostoma eilhardi","Freshwater ribbon worm",41366,134,"species","Other","Nemertea","Enopla","Monostilifera","Tetrastemmatidae","Prostoma"
30482170,718172,"Nitella","",3148,932,"genus","Other","Streptophyta","Charophyceae","Charales","Characeae","Nitella"
41758807,532681,"Coleochaete","",3123,30,"genus","Other","Streptophyta","Coleochaetophyceae","Coleochaetales","Coleochaetaceae","Coleochaete"
29018902,709011,"Naegleria","Amoeba",5761,6,"genus","Other","Heterolobosea",NA,NA,"Vahlkampfiidae","Naegleria"
61740526,536249,"Paracercomonas","Rhizarian",372085,6,"genus","Other","Cercozoa",NA,"Cercomonadida","Cercomonadidae","Paracercomonas"
27945470,709622,"Neobodo","",312470,28,"genus","Other","Euglenozoa","Kinetoplastea","Neobodonida",NA,"Neobodo"
23879358,411963,"Cercomonas","",45109,22,"genus","Other","Cercozoa",NA,"Cercomonadida","Cercomonadidae","Cercomonas"
26427009,708881,"Coleochaete","",3123,6,"genus","Other","Streptophyta","Coleochaetophyceae","Coleochaetales","Coleochaetaceae","Coleochaete"
66387702,731975,"Neobodo","",312470,172,"genus","Other","Euglenozoa","Kinetoplastea","Neobodonida",NA,"Neobodo"
7894394,400192,"Procryptobia","",266822,425,"genus","Other","Euglenozoa","Kinetoplastea","Parabodonida",NA,"Procryptobia"
42645551,724683,"Salpingoeca","",86017,12,"genus","Other",NA,"Choanoflagellata","Craspedida","Salpingoecidae","Salpingoeca"
14230630,518832,"Prostoma","",35727,5,"genus","Other","Nemertea","Enopla","Monostilifera","Tetrastemmatidae","Prostoma"
54452790,722902,"Parabodo","",140243,14,"genus","Other","Euglenozoa","Kinetoplastea","Parabodonida",NA,"Parabodo"
30780338,713015,"Neobodo","",312470,19,"genus","Other","Euglenozoa","Kinetoplastea","Neobodonida",NA,"Neobodo"
27263203,715245,"Chaetonotus","Gastrotrich",68038,364,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus"
37918254,718353,"Chaetonotus","Gastrotrich",68038,874,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus"
20150001,525554,"Trachelomonas","Euglinoid",96503,15,"genus","Other","Euglenozoa","Euglenida","Euglenales","Euglenaceae","Trachelomonas"
8641894,515003,"Neobodo","",312470,18,"genus","Other","Euglenozoa","Kinetoplastea","Neobodonida",NA,"Neobodo"
30843070,712942,"Procryptobia","",266822,17,"genus","Other","Euglenozoa","Kinetoplastea","Parabodonida",NA,"Procryptobia"
17985513,701583,"Prostoma","",35727,22,"genus","Other","Nemertea","Enopla","Monostilifera","Tetrastemmatidae","Prostoma"
2652335,504844,"Coleochaete orbicularis","Charophyte green algae",3124,25,"species","Other","Streptophyta","Coleochaetophyceae","Coleochaetales","Coleochaetaceae","Coleochaete"
36491634,539692,"Naegleria","Amoeba",5761,6,"genus","Other","Heterolobosea",NA,NA,"Vahlkampfiidae","Naegleria"
40919072,533290,"Nuclearia","Amoeba",154967,21,"genus","Other",NA,NA,"Rotosphaerida","Nucleariidae","Nuclearia"
2831179,505315,"Rhynchomonas","Flagellates",127149,9,"genus","Other","Euglenozoa","Kinetoplastea","Neobodonida","Rhynchomonadidae","Rhynchomonas"
36245425,537257,"Coleochaete","",3123,208,"genus","Other","Streptophyta","Coleochaetophyceae","Coleochaetales","Coleochaetaceae","Coleochaete"
25908943,708151,"Lentomonas","",2493208,6,"genus","Other","Euglenozoa","Euglenida","Heteronematales","Lentomonadidae","Lentomonas"
31747996,715002,"Neobodo","",312470,24,"genus","Other","Euglenozoa","Kinetoplastea","Neobodonida",NA,"Neobodo"
26294445,708945,"Chaetonotus","Gastrotrich",68038,299,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus"
25905075,707961,"Neobodo","",312470,122,"genus","Other","Euglenozoa","Kinetoplastea","Neobodonida",NA,"Neobodo"
58238479,730601,"Andalucia","",444704,400,"genus","Other",NA,NA,"Jakobida","Andaluciidae","Andalucia"
60939837,732141,"Thaumatomonas","",45099,5,"genus","Other","Cercozoa","Imbricatea","Thaumatomonadida","Thaumatomastigidae","Thaumatomonas"
42718389,724735,"Nuclearia","Amoeba",154967,12,"genus","Other",NA,NA,"Rotosphaerida","Nucleariidae","Nuclearia"
30467003,413175,"Naegleria","Amoeba",5761,15,"genus","Other","Heterolobosea",NA,NA,"Vahlkampfiidae","Naegleria"
28267472,519179,"Lepocinclis","",66846,52,"genus","Other","Euglenozoa","Euglenida","Euglenales","Phacaceae","Lepocinclis"
42528595,724394,"Cosmarium botrytis","",33101,11,"species","Other","Streptophyta","Zygnemophyceae","Desmidiales","Desmidiaceae","Cosmarium"
34037337,714855,"Woronina","",1484335,14,"genus","Other","Endomyxa","Phytomyxea","Plasmodiophorida","Plasmodiophoridae","Woronina"
27055044,711994,"Nitella","",3148,136,"genus","Other","Streptophyta","Charophyceae","Charales","Characeae","Nitella"
13356775,516010,"Polymyxa","",41455,13,"genus","Other","Endomyxa","Phytomyxea","Plasmodiophorida","Plasmodiophoridae","Polymyxa"
55152088,723354,"Salpingoeca","",86017,9,"genus","Other",NA,"Choanoflagellata","Craspedida","Salpingoecidae","Salpingoeca"
2505893,504984,"Ophyiulus pilosus","Millipede",118470,7,"species","Other","Arthropoda","Diplopoda","Julida","Julidae","Ophyiulus"
28053329,709743,"Neobodo","",312470,160,"genus","Other","Euglenozoa","Kinetoplastea","Neobodonida",NA,"Neobodo"
3876536,503859,"unclassified Rhynchobodo","",2648342,19,"no rank","Other","Euglenozoa","Kinetoplastea","Neobodonida",NA,"Rhynchobodo"
2449223,504590,"Dactylobiotus","",290170,17,"genus","Other","Tardigrada","Eutardigrada","Parachela","Murrayidae","Dactylobiotus"
39425001,707416,"Bodo","Excavate",5712,17,"genus","Other","Euglenozoa","Kinetoplastea","Eubodonida","Bodonidae","Bodo"
42026711,515478,"Collodictyon","",190324,73,"genus","Other",NA,NA,NA,"Collodictyonidae","Collodictyon"
12813023,401555,"Chaetonotus","Gastrotrich",68038,381,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus"
43829352,537847,"Nuclearia","Amoeba",154967,21,"genus","Other",NA,NA,"Rotosphaerida","Nucleariidae","Nuclearia"
27995043,709584,"Nitella","",3148,278,"genus","Other","Streptophyta","Charophyceae","Charales","Characeae","Nitella"
27346965,715212,"Rhynchomonas","Flagellates",127149,32,"genus","Other","Euglenozoa","Kinetoplastea","Neobodonida","Rhynchomonadidae","Rhynchomonas"
7409703,400225,"Micronuclearia","",238745,18,"genus","Other",NA,NA,"Rigifilida",NA,"Micronuclearia"
3428451,506462,"Ebria","Rhizarian",361425,11,"genus","Other","Cercozoa","Thecofilosea",NA,"Ebriacea","Ebria"
27986280,709642,"Naegleria","Amoeba",5761,21,"genus","Other","Heterolobosea",NA,NA,"Vahlkampfiidae","Naegleria"
54465756,722914,"Bodo","Excavate",5712,31,"genus","Other","Euglenozoa","Kinetoplastea","Eubodonida","Bodonidae","Bodo"
58236676,730593,"Spongospora","",70185,22,"genus","Other","Endomyxa","Phytomyxea","Plasmodiophorida","Plasmodiophoridae","Spongospora"
31284391,532138,"Neobodo","",312470,51,"genus","Other","Euglenozoa","Kinetoplastea","Neobodonida",NA,"Neobodo"
36044223,533178,"Neobodo","",312470,28,"genus","Other","Euglenozoa","Kinetoplastea","Neobodonida",NA,"Neobodo"
39738370,707485,"Leptophrys","",1108493,6,"genus","Other","Endomyxa",NA,"Vampyrellida","Leptophryidae","Leptophrys"
21974631,527026,"Chaetonotus","Gastrotrich",68038,28,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus"
45756894,541959,"Spirogyra","",3179,140,"genus","Other","Streptophyta","Zygnemophyceae","Zygnematales","Zygnemataceae","Spirogyra"
42491961,724483,"Woronina","",1484335,10,"genus","Other","Endomyxa","Phytomyxea","Plasmodiophorida","Plasmodiophoridae","Woronina"
2800400,505318,"Woronina","",1484335,24,"genus","Other","Endomyxa","Phytomyxea","Plasmodiophorida","Plasmodiophoridae","Woronina"
58386437,538771,"Spirogyra","",3179,24,"genus","Other","Streptophyta","Zygnemophyceae","Zygnematales","Zygnemataceae","Spirogyra"
30822034,712944,"Chaetonotus","Gastrotrich",68038,17,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus"
29844914,715081,"Paracercomonas","Rhizarian",372085,6,"genus","Other","Cercozoa",NA,"Cercomonadida","Cercomonadidae","Paracercomonas"
58509542,726373,"Procryptobia","",266822,15,"genus","Other","Euglenozoa","Kinetoplastea","Parabodonida",NA,"Procryptobia"
42026524,515476,"Neobodo","",312470,49,"genus","Other","Euglenozoa","Kinetoplastea","Neobodonida",NA,"Neobodo"
11786635,400495,"Neobodo","",312470,45,"genus","Other","Euglenozoa","Kinetoplastea","Neobodonida",NA,"Neobodo"
36291258,537272,"Neobodo","",312470,17,"genus","Other","Euglenozoa","Kinetoplastea","Neobodonida",NA,"Neobodo"
56085639,722666,"Micronuclearia","",238745,7,"genus","Other",NA,NA,"Rigifilida",NA,"Micronuclearia"
22498239,529535,"Chaetonotus","Gastrotrich",68038,304,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Chaetonotus"
44774002,528553,"Ichthydium","",1274491,6,"genus","Other","Gastrotricha",NA,"Chaetonotida","Chaetonotidae","Ichthydium"
63102728,413138,"Thaumatomonas","",45099,27,"genus","Other","Cercozoa","Imbricatea","Thaumatomonadida","Thaumatomastigidae","Thaumatomonas"
60711036,732092,"Petalomonas","",56451,11,"genus","Other","Euglenozoa","Euglenida","Petalomonadida","Scytomonadidae","Petalomonas"
30704006,533929,"Rhynchobodo","",51333,6,"genus","Other","Euglenozoa","Kinetoplastea","Neobodonida",NA,"Rhynchobodo"
29645392,413147,"Nuclearia","Amoeba",154967,27,"genus","Other",NA,NA,"Rotosphaerida","Nucleariidae","Nuclearia"
30944251,533235,"Spirogyra","",3179,14,"genus","Other","Streptophyta","Zygnemophyceae","Zygnematales","Zygnemataceae","Spirogyra"
20911913,410523,"Ophyiulus pilosus","Millipede",118470,8,"species","Other","Arthropoda","Diplopoda","Julida","Julidae","Ophyiulus"
50610607,730623,"Lepocinclis","",66846,57,"genus","Other","Euglenozoa","Euglenida","Euglenales","Phacaceae","Lepocinclis"
70000773,720543,"Staurastrum punctulatum","",102822,2242,"species","Other","Streptophyta","Zygnemophyceae","Desmidiales","Desmidiaceae","Staurastrum"
52742217,711303,"Spongospora","",70185,57,"genus","Other","Endomyxa","Phytomyxea","Plasmodiophorida","Plasmodiophoridae","Spongospora"
19623027,525561,"Phacus","",96783,180,"genus","Other","Euglenozoa","Euglenida","Euglenales","Phacaceae","Phacus"
25622075,708024,"Procryptobia","",266822,123,"genus","Other","Euglenozoa","Kinetoplastea","Parabodonida",NA,"Procryptobia"
39608765,538747,"Cercomonas","",45109,6,"genus","Other","Cercozoa",NA,"Cercomonadida","Cercomonadidae","Cercomonas"
40919693,533292,"Woronina","",1484335,6,"genus","Other","Endomyxa","Phytomyxea","Plasmodiophorida","Plasmodiophoridae","Woronina"
2364636,506372,"Polymyxa","",41455,7,"genus","Other","Endomyxa","Phytomyxea","Plasmodiophorida","Plasmodiophoridae","Polymyxa"
34088559,536788,"Spongospora","",70185,8,"genus","Other","Endomyxa","Phytomyxea","Plasmodiophorida","Plasmodiophoridae","Spongospora"
14186118,519315,"Procryptobia","",266822,42,"genus","Other","Euglenozoa","Kinetoplastea","Parabodonida",NA,"Procryptobia"
3720314,505177,"Neobodo","",312470,21,"genus","Other","Euglenozoa","Kinetoplastea","Neobodonida",NA,"Neobodo"
35388469,410704,"Coleochaete","",3123,122,"genus","Other","Streptophyta","Coleochaetophyceae","Coleochaetales","Coleochaetaceae","Coleochaete"
